# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LSDV001	gene-LSDVgp001	TRANSCRIPT_gene-LSDVgp001	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	12
LSDV002	gene-LSDVgp002	TRANSCRIPT_gene-LSDVgp002	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	13
LSDV003	gene-LSDVgp003	TRANSCRIPT_gene-LSDVgp003	protein_coding	1	0	0	14	0	0	0	0	1	1	0	0	0	0	0	13
LSDV004	gene-LSDVgp004	TRANSCRIPT_gene-LSDVgp004	protein_coding	0	0	0	16	0	0	0	0	2	0	0	0	0	0	0	14
LSDV005	gene-LSDVgp005	TRANSCRIPT_gene-LSDVgp005	protein_coding	2	0	0	15	0	0	0	0	13	2	0	0	0	0	0	2
LSDV006	gene-LSDVgp006	TRANSCRIPT_gene-LSDVgp006	protein_coding	4	0	0	17	0	0	1	0	4	3	0	0	1	0	0	13
LSDV007	gene-LSDVgp007	TRANSCRIPT_gene-LSDVgp007	protein_coding	3	0	0	19	0	0	0	0	8	3	0	0	0	0	0	11
LSDV008	gene-LSDVgp008	TRANSCRIPT_gene-LSDVgp008	protein_coding	0	0	0	26	0	0	0	0	12	0	0	0	0	0	0	14
LSDV009	gene-LSDVgp009	TRANSCRIPT_gene-LSDVgp009	protein_coding	1	0	0	28	0	0	0	0	12	1	0	0	0	0	0	16
LSDV010	gene-LSDVgp010	TRANSCRIPT_gene-LSDVgp010	protein_coding	0	0	0	28	0	0	0	0	13	0	0	0	0	0	0	15
LSDV011	gene-LSDVgp011	TRANSCRIPT_gene-LSDVgp011	protein_coding	3	0	0	29	0	0	0	0	13	3	0	0	0	0	0	16
LSDV012	gene-LSDVgp012	TRANSCRIPT_gene-LSDVgp012	protein_coding	3	0	0	26	0	0	0	0	13	3	0	0	0	0	0	13
LSDV013	gene-LSDVgp013	TRANSCRIPT_gene-LSDVgp013	protein_coding	1	0	0	26	0	0	0	0	12	1	0	0	0	0	0	14
LSDV014	gene-LSDVgp014	TRANSCRIPT_gene-LSDVgp014	protein_coding	0	0	1	23	1	0	0	0	11	0	0	0	0	0	0	12
LSDV015	gene-LSDVgp015	TRANSCRIPT_gene-LSDVgp015	protein_coding	2	0	0	25	0	0	0	0	12	2	0	0	0	0	0	13
LSDV016	gene-LSDVgp016	TRANSCRIPT_gene-LSDVgp016	protein_coding	1	0	1	26	1	0	0	0	14	1	0	0	0	0	0	12
LSDV017	gene-LSDVgp017	TRANSCRIPT_gene-LSDVgp017	protein_coding	3	0	0	28	0	0	0	0	14	3	0	2	0	2	0	14
LSDV018	gene-LSDVgp018	TRANSCRIPT_gene-LSDVgp018	protein_coding	0	0	0	30	0	0	0	0	15	0	0	0	0	0	0	15
LSDV019	gene-LSDVgp019	TRANSCRIPT_gene-LSDVgp019	protein_coding	4	0	0	30	0	0	0	0	15	3	0	2	0	2	0	15
LSDV020	gene-LSDVgp020	TRANSCRIPT_gene-LSDVgp020	protein_coding	1	0	1	28	0	0	0	0	13	1	1	0	0	0	0	15
LSDV021	gene-LSDVgp021	TRANSCRIPT_gene-LSDVgp021	protein_coding	0	0	0	29	0	0	0	0	14	0	0	0	0	0	0	15
LSDV022	gene-LSDVgp022	TRANSCRIPT_gene-LSDVgp022	protein_coding	0	0	0	27	0	0	0	0	12	0	0	0	0	0	0	15
LSDV023	gene-LSDVgp023	TRANSCRIPT_gene-LSDVgp023	protein_coding	0	0	0	27	0	0	0	0	13	0	0	0	0	0	0	14
LSDV024	gene-LSDVgp024	TRANSCRIPT_gene-LSDVgp024	protein_coding	3	0	0	22	0	0	0	0	12	3	0	0	0	0	0	10
LSDV025	gene-LSDVgp025	TRANSCRIPT_gene-LSDVgp025	protein_coding	4	0	0	25	0	0	0	0	14	4	0	0	0	0	0	11
